Tiempo (s),Velocidad (m/s)
43359.24528301887,-6.864943914632723e-12
43359.3962264151,-3.270319172265979e-11
43359.54716981132,-5.613327786759618e-11
43359.698113207545,-5.336218620347642e-11
43359.84905660377,-1.6118151309998882e-11
43360.0,4.0251880639498524e-11
43360.15094339623,8.501304624318342e-11
43360.301886792455,9.063020134585e-11
43360.45283018868,4.9521064239680676e-11
43360.6037735849,-2.0907834654356393e-11
43360.75471698113,-8.690293130525496e-11
43360.90566037736,-1.150745728118145e-10
43361.056603773584,-8.856306676916527e-11
43361.20754716981,-1.569616067729401e-11
43361.35849056604,7.210558826105824e-11
43361.50943396227,1.3277574232705614e-10
43361.660377358494,1.3263707750950992e-10
43361.811320754714,6.478662768051262e-11
43361.96226415094,-4.269230627475555e-11
43362.11320754717,-1.3621118000022993e-10
43362.264150943396,-1.631930871236591e-10
43362.41509433962,-1.0348936576212165e-10
43362.56603773585,1.3555478549336417e-11
43362.71698113208,1.2095658168153706e-10
43362.8679245283,1.526099226118816e-10
43363.018867924526,8.68160700935771e-11
43363.16981132075,-3.461055251790153e-11
43363.32075471698,-1.2866909966389892e-10
43363.47169811321,-1.2486410881114359e-10
43363.622641509435,-1.6201714151676862e-11
43363.77358490566,1.2906483886801708e-10
43363.92452830189,2.076800686525914e-10
43364.07547169811,1.505513557589585e-10
43364.22641509434,-2.2315452679712257e-11
43364.377358490565,-2.187608426538449e-10
43364.52830188679,-3.0674683558174363e-10
43364.67924528302,-2.227457675842338e-10
43364.83018867925,-7.344027370633724e-12
43364.981132075474,2.3249075761392152e-10
43365.1320754717,3.306593451332076e-10
43365.28301886792,2.533497604975017e-10
43365.43396226415,4.162621990306989e-11
43365.58490566038,-1.8858653163625188e-10
43365.735849056604,-2.909124640213685e-10
43365.88679245283,-2.3022743041482481e-10
43366.03773584906,-4.839604036260427e-11
43366.188679245286,1.4716286406133124e-10
43366.339622641506,2.4824973566970466e-10
43366.49056603773,2.1240104044294694e-10
43366.64150943396,7.389229075770914e-11
43366.79245283019,-8.485735796578532e-11
43366.943396226416,-1.8384615059992973e-10
43367.09433962264,-1.8591294604920108e-10
43367.24528301887,-1.0763050631186387e-10
43367.3962264151,-1.1071014652381466e-12
43367.54716981132,7.822552710895784e-11
43367.698113207545,9.956391198770446e-11
43367.84905660377,6.820418827354131e-11
43368.0,1.7681395557308916e-11
43368.15094339623,-1.201157554967358e-11
43368.301886792455,8.568494169051581e-13
43368.45283018868,4.506913452729733e-11
43368.6037735849,8.14051387237436e-11
43368.75471698113,6.718732456634648e-11
43368.90566037736,-1.2249724569509765e-11
43369.056603773584,-1.2558986872561108e-10
43369.20754716981,-2.0672453036160875e-10
43369.35849056604,-1.932621565334208e-10
43369.50943396227,-7.03652239301974e-11
43369.660377358494,1.1067936260478558e-10
43369.811320754714,2.523164909938024e-10
43369.96226415094,2.718548435789413e-10
43370.11320754717,1.5095939831272438e-10
43370.264150943396,-5.66398984285761e-11
43370.41509433962,-2.253389588474214e-10
43370.56603773585,-2.74001246279316e-10
43370.71698113208,-1.7742851074812754e-10
43370.8679245283,5.597957628839361e-12
43371.018867924526,1.6839282233410925e-10
43371.16981132075,2.3159244672015606e-10
43371.32075471698,1.749370294897092e-10
43371.47169811321,4.618469813646524e-11
43371.622641509435,-7.714132460805958e-11
43371.77358490566,-1.3631124794918282e-10
43371.92452830189,-1.205405196714242e-10
43372.07547169811,-6.245706039496991e-11
43372.22641509434,-8.765817338860137e-12
43372.377358490565,1.1398382217637937e-11
43372.52830188679,8.090037765738805e-13
43372.67924528302,-1.4182649158773023e-11
43372.83018867925,-5.575318984948025e-12
43372.981132075474,3.585999187737727e-11
43373.1320754717,9.321489814709443e-11
43373.28301886792,1.3210339952028944e-10
43373.43396226415,1.201220693351475e-10
43373.58490566038,4.708702301663804e-11
43373.735849056604,-6.462373270304629e-11
43373.88679245283,-1.6662375513955547e-10
43374.03773584906,-2.0722962691864355e-10
43374.188679245286,-1.601047175083641e-10
43374.339622641506,-4.258576180816438e-11
43374.49056603773,8.957455619130624e-11
43374.64150943396,1.714348117762061e-10
43374.79245283019,1.6637279424635759e-10
43374.943396226416,8.81725186507123e-11
43375.09433962264,-8.301925727010101e-12
43375.24528301887,-6.351251262508181e-11
43375.3962264151,-5.292468640985084e-11
43375.54716981132,-2.2460768569410044e-12
43375.698113207545,3.334194336704078e-11
43375.84905660377,1.1819437189675876e-11
43376.0,-6.193501152368385e-11
43376.15094339623,-1.366266288265842e-10
43376.301886792455,-1.5012861797206117e-10
43376.45283018868,-7.519768461885404e-11
43376.6037735849,5.770016404489394e-11
43376.75471698113,1.7743672751643208e-10
43376.90566037736,2.1761804840053973e-10
43377.056603773584,1.5873654667825377e-10
43377.20754716981,3.836463745400093e-11
43377.35849056604,-7.610299624993144e-11
43377.50943396227,-1.3149510429781405e-10
43377.660377358494,-1.188259302561486e-10
43377.811320754714,-7.045766008340343e-11
43377.96226415094,-3.014618560566489e-11
43378.11320754717,-2.0006542363906993e-11
43378.264150943396,-2.814997912227891e-11
43378.41509433962,-2.3635369531535347e-11
43378.56603773585,1.4847640722646054e-11
43378.71698113208,7.884029315660079e-11
43378.8679245283,1.329652403756471e-10
43379.018867924526,1.380256202300364e-10
43379.16981132075,7.79224455806433e-11
43379.32075471698,-2.7425232152261077e-11
43379.47169811321,-1.3076795724169102e-10
43379.622641509435,-1.818380755480035e-10
43379.77358490566,-1.5315717683913895e-10
43379.92452830189,-5.409802792887925e-11
43380.07547169811,7.271194093742425e-11
43380.22641509434,1.7008362485053406e-10
43380.377358490565,1.917238318392433e-10
43380.52830188679,1.240170810479135e-10
43380.67924528302,-5.26647696074835e-12
43380.83018867925,-1.3669052727943283e-10
43380.981132075474,-2.0551746780932393e-10
43381.1320754717,-1.7426522285717173e-10
43381.28301886792,-5.509928750298092e-11
43381.43396226415,9.228495446142712e-11
